dep,decile,N,beta_ind_own,se_ind_own,t_ind_own,beta_c_firm_size,se_c_firm_size,t_c_firm_size,beta_c_dollar_vol,se_c_dollar_vol,t_c_dollar_vol,within_R2
amihud_illiq,1,23929,-0.06776089274844689,0.10168469415698865,-0.6663824217618476,-0.13302363482162408,0.014058165774043892,-9.462374890131862,-0.05656639503244855,0.002700502550559582,-20.9466178881139,0.25416221641335757
amihud_illiq,2,23929,-0.026395174258348465,0.019273791462198844,-1.369485309110903,-0.017547629463182536,0.0016352817364475977,-10.73064602390907,-0.017264156840168746,0.0007946665225743399,-21.725033520024382,0.22766459179505505
amihud_illiq,3,23928,0.019149971758831156,0.008414199999225616,2.2759111692844933,-0.008885279020656722,0.0007026572444783507,-12.645253557804146,-0.007926857561928683,0.00039431387352315683,-20.102913171943374,0.22746775124557117
amihud_illiq,4,23929,0.0006671885383490039,0.0027062431880812005,0.24653680101161146,-0.0030506186158300286,0.00040343515084878,-7.561608375997696,-0.004203735318713951,0.0002555020169803906,-16.452845924251868,0.20610612042890442
amihud_illiq,5,23928,-0.0005657097567492689,0.0017256848593467523,-0.32781753498342386,-0.001886777889671851,0.00018900651666040085,-9.982607600043421,-0.0023370284077789956,0.00011947044276016139,-19.561561452238134,0.16257571865280473
amihud_illiq,6,23929,-0.0027364999092574648,0.0024978268101856936,-1.0955523009435661,-0.0005600110866602836,0.0002814559830402129,-1.9896933105176602,-0.0016531096927010405,0.0003376625916718137,-4.8957442532093,0.06802404585361121
amihud_illiq,7,23929,-0.0013135432242942066,0.0009934473213255165,-1.3222072233700315,-0.00019721505156967156,0.00020964814054188975,-0.940695448382792,-0.0008685694529465513,0.00013435606023181904,-6.464683851609778,0.05032849856716648
amihud_illiq,8,23928,0.0002760520556217227,0.0007425514162376714,0.37176153675716056,-8.004923935547879e-05,8.976125730064326e-05,-0.8918016721553335,-0.0005371905365617144,0.00015648712861857878,-3.4328097224600556,0.011120562749019403
amihud_illiq,9,23929,0.0004401773372424605,0.00027169495372695863,1.6201159837691324,-2.089747087410929e-05,4.2897129041454516e-05,-0.4871531345119761,-0.00025137335424212185,7.974161592503491e-05,-3.152348385796921,0.11552879596853105
amihud_illiq,10,23929,0.00018464694098076424,0.0001291637219865577,1.4295572947331199,1.7894457228003094e-05,1.2666884196714967e-05,1.412696046644513,-7.432453613070654e-05,1.807904830614232e-05,-4.111086760327695,0.14708268970798943
volatility,1,23929,-0.2098415990515317,0.10887205008951584,-1.9274147853282597,-0.11294228758967378,0.007249584048714534,-15.579140379743613,0.08349005167736535,0.003676602399374084,22.708479897521407,0.2673884218744399
volatility,2,23929,-0.07299902230808629,0.07100234106928137,-1.0281213437294503,-0.10711585296444617,0.007177270963491025,-14.924315036915509,0.07685738914570181,0.004101101038691952,18.740671936777133,0.21106451048192243
volatility,3,23928,-0.015728225253225977,0.06064311607098042,-0.259357141786987,-0.12550426445549778,0.007742151141575833,-16.210515935491376,0.08054352011452184,0.0033715804636142216,23.88895088927579,0.23831710100413883
volatility,4,23929,-0.1394745695703211,0.06684120623308899,-2.0866554844020118,-0.11002032783574356,0.005786805260094644,-19.012274111664883,0.07900162236211243,0.002763110989319997,28.59154868098685,0.23746036203929466
volatility,5,23928,-0.12554571651465124,0.06369373961947965,-1.9710840855740117,-0.1233660153840575,0.006261127561885125,-19.703482186667664,0.08284865085982861,0.003499538676713242,23.67416351507218,0.20913442117739367
volatility,6,23929,-0.10599616601272004,0.04694165632390854,-2.258040604305085,-0.10373952877399789,0.00561973185976502,-18.459871638490522,0.0768273390923369,0.0028065763800703496,27.374041781970366,0.18480658387223148
volatility,7,23929,-0.043016274582288835,0.0394015311153552,-1.0917411929082352,-0.09600319166273402,0.006104027286847846,-15.727844446172291,0.07283836912635565,0.004243830458056399,17.163355097770413,0.14290466395967083
volatility,8,23928,0.040661574117368336,0.054423094596539476,0.7471382217201927,-0.09276186384215572,0.004861750690165362,-19.079930204936243,0.07482668820582412,0.0034147101378737502,21.913042450044305,0.16966972440034067
volatility,9,23929,-0.044877984961686684,0.05204206383206108,-0.8623406079072351,-0.0811212528458556,0.0043733191608577825,-18.54912707307291,0.07690733753210041,0.0034575814890045104,22.243101941826737,0.18232081260644684
volatility,10,23929,0.041365853562532195,0.0374210605695011,1.1054163867350724,-0.0619715120949682,0.004366678768395404,-14.191910003432763,0.06989877277722756,0.004789211798232474,14.595047310921744,0.20491342152401792
price_info,1,23929,-13.596942764205782,1.299273417209824,-10.465035753140455,-0.509476122287226,0.0474404387975647,-10.739279298432193,-0.017983596445123894,0.014881800827106165,-1.208428781842586,0.07141086436332866
price_info,2,23929,-8.209428516431682,0.6582896062748516,-12.470846323835243,-0.602178437173223,0.05373792385766799,-11.205837403919293,0.22682656397168802,0.01769878027337752,12.815943272253637,0.04890357724171446
price_info,3,23928,-3.800400558242709,0.5555578786883846,-6.840692399530121,-0.6176026866665327,0.07127592543915398,-8.6649550021453,0.2642513503834118,0.02186736616096889,12.084278849049257,0.03763199747735857
price_info,4,23929,-3.5096399379904315,0.47499651315229774,-7.388769897906889,-0.5963332930305063,0.06423769868171833,-9.28322940062327,0.3349647859812511,0.023975544057235905,13.971102602785672,0.047730871255846075
price_info,5,23928,-3.7967194486855202,0.508450370606321,-7.467237056308912,-0.5926796539052533,0.06066678293878605,-9.769426120769886,0.4377218340897551,0.02959839520587278,14.788701584838098,0.06151836165902602
price_info,6,23929,-2.48110459896159,0.48382537004632886,-5.128099418854391,-0.45692988295185444,0.06369995072922184,-7.173159126828673,0.45912627556304997,0.028346271679707633,16.197060437113027,0.054192255687780855
price_info,7,23929,-2.415664268161005,0.4028813170144496,-5.995969944851936,-0.29689019381146076,0.05804595840889818,-5.114743591966411,0.45006559815041564,0.028751359955213333,15.653715123440886,0.046203750569535185
price_info,8,23928,-2.8178004665343304,0.5605971994816417,-5.026426227494215,-0.3851547853286725,0.054818171966151706,-7.0260421227926395,0.44369019793635844,0.03483442998533287,12.737116643595872,0.037947840908172714
price_info,9,23929,-2.261025201585968,0.6090330461002623,-3.7124836099841874,-0.39753680057827273,0.05375181800764782,-7.3957833486062015,0.46657547560070745,0.04511332017160564,10.342299653980477,0.03705576903575469
price_info,10,23929,-0.40393065116818117,0.8068023052502186,-0.5006562927989003,-0.44015459732776185,0.06197306515694323,-7.102353195103318,0.40679370098694345,0.054557988984959636,7.456171104457075,0.029052573996211417
